Banda Aceh;Lhokseumawe;Medan;Sibolga;Pematang Siantar;Padang;Pekanbaru;Bengkulu;Jambi;Batam;Palembang;Lampung;Serang;Pangkal Pinang;Jakarta;Bandung;Tasikmalaya;Cirebon;Tegal;Purwokerto;Pontianak;Yogyakarta;Semarang;Solo;Kediri;Malang;Surabaya;Jember;Palangkaraya;Banjarmasin;Denpasar;Mataram;Balikpapan;Samarinda;Tarakan;Mamuju;Makassar;Palu;Kendari;Gorontalo;Kupang;Manado;Ternate;Ambon;Manokwari;Jayapura
-1543;-3257;-16548;-1360;-3115;-5766;-5000;-1799;-2578;-5500;-11552;-9066;-4604;-2371;-64983;-15234;-2364;-5652;-2964;-2818;-7426;-5417;-16526;-5744;-3750;-1752;-14237;-7382;-1800;-4920;-6081;-2051;-9335;-2839;-780;-777;-12229;-1624;-1154;-1699;-2597;-7100;-2415;-1499;-402;-3977
-1389;-3396;-12933;-1588;-2312;-5297;-4752;-1777;-1881;-5004;-9285;-8593;-4806;-1680;0;-11987;-2824;-5215;-2832;-3009;-7117;-5411;-18027;-6204;-6233;-2323;-12807;-6172;-1374;-5133;-5117;-2378;-7693;-2000;-1183;-712;-12358;-1818;-1339;-1731;-3029;-6216;-1714;-1426;-447;-4651
151;157;-130;3;491;261;581;131;569;541;829;519;324;222;0;1179;164;186;569;-186;168;898;796;165;-114;-13;1840;392;448;101;1238;-37;301;534;101;180;107;139;331;-42;-322;296;129;-106;-30;559
741;385;1758;246;738;724;1033;437;567;743;1554;715;483;280;0;2936;181;957;926;189;301;1497;2074;940;565;460;5060;669;691;502;2855;606;414;818;206;190;821;86;236;152;171;275;238;45;67;584
1019;557;2080;626;674;389;1098;398;973;2858;1949;879;426;445;0;6530;689;2017;1224;347;568;1957;6979;1381;769;2706;4686;3560;976;693;2072;936;635;886;387;466;838;533;372;76;29;600;371;260;179;1625
2544;2127;6414;2107;3611;7158;6982;2823;3094;2813;9152;7794;4256;932;0;12832;2604;8187;6376;4559;4740;9596;12426;9078;6655;5575;28988;4639;2260;3536;8065;3659;2488;4172;1881;773;6601;2023;1842;1119;1811;3020;1092;1334;427;3018
593;12;-283;25;538;-786;-630;589;-37;-280;-463;258;-997;422;0;397;841;-1667;-447;-2834;205;-2659;-4728;-1550;141;-800;-8736;-891;421;-506;307;-374;-4;-320;-13;532;-796;-39;272;4;428;145;151;728;138;504
623;280;236;748;418;-676;-275;288;432;533;856;198;545;150;0;-4274;-315;-572;389;-1233;173;-313;794;-2010;-537;-282;-2152;364;741;182;1339;76;322;799;47;-196;300;-41;97;38;685;152;390;464;197;303
810;372;1742;529;988;-191;1435;365;513;439;1200;1237;-273;301;0;889;-771;-216;959;-168;771;1271;495;-183;-196;-64;2857;568;807;393;2284;322;377;788;85;352;639;189;232;102;495;408;191;406;114;732
754;344;531;668;751;130;1275;350;418;992;1994;494;-74;272;0;533;39;-26;689;-339;513;1414;1476;-385;123;97;1040;538;718;359;2135;764;430;752;136;256;1278;189;489;119;502;481;367;520;173;1131
746;293;657;830;746;326;1492;395;690;1010;2111;776;9;413;0;409;-242;211;990;-411;947;1774;1121;-335;552;115;2045;796;899;552;2500;683;449;696;197;201;711;256;550;56;709;470;343;569;166;641
904;387;1652;917;842;631;1235;564;727;1265;2113;752;205;260;0;1658;-70;598;478;-177;1292;1933;774;-1;723;240;3540;973;1180;698;2055;581;524;808;204;467;942;786;740;107;693;1091;294;572;254;1004
1631;1026;3364;1589;1816;1634;2990;843;1105;1758;1735;1757;1334;680;0;6467;79;739;1389;560;2264;2449;3168;1081;1534;1089;5897;553;1631;1158;3301;753;1160;1512;408;582;2515;1296;1195;173;1950;2381;673;1439;810;3027
